Slice,Iteration,Step,Throughput,Latency,PacketLoss,txPower,channelWidth
mMTC,10,12,40.1,107.1633543,27.3,5,20
mMTC,10,13,40.1,132.5667709,30.1,5,20
mMTC,10,14,40.1,122.9578842,33.3,5,20
mMTC,10,15,40.1,247.0696427,36.3,5,20
mMTC,10,16,40.1,287.4560926,39.3,5,20
mMTC,10,17,40.1,153.2601157,42.2,5,20
mMTC,10,18,40.1,196.5379591,45.3,5,20
mMTC,10,19,40.1,284.2858906,48.3,5,20
mMTC,10,20,40.1,254.5345419,48.3,5,20
URLLC,1,1,34.5,6.572210865,0,15,20
URLLC,1,2,34.5,2.810858258,2582,20,40
URLLC,1,3,34.5,9.623802047,4225,20,80
URLLC,1,4,34.5,5.086575546,2526.5,20,80
URLLC,1,5,34.5,4.905595587,2624.5,20,80
URLLC,1,6,34.5,6.066314976,2356,20,80
URLLC,1,7,34.5,1.365927192,2204,20,80
URLLC,1,8,34.5,7.29818741,1836,20,80
URLLC,1,9,34.5,9.026739066,1693,20,80
URLLC,1,10,34.5,5.922520015,1256,20,80
URLLC,1,11,34.5,3.859765436,1025,20,80
URLLC,1,12,34.5,9.884430409,800.25,20,80
URLLC,1,13,34.5,7.394159511,736.1,20,80
URLLC,1,14,34.5,6.550740344,426,20,80
URLLC,1,15,34.5,5.301522893,357,20,80
URLLC,1,16,34.5,8.513836349,226,20,80
URLLC,1,17,34.5,6.503618459,216.27,20,80
URLLC,1,18,34.5,1.592424885,118.63,20,80
URLLC,1,19,34.5,6.400758993,72,20,80
URLLC,1,20,34.5,1.658389806,4096.5,20,80
URLLC,2,1,30.5,1.216695088,0,15,20
URLLC,2,2,30.5,6.19284479,2526.5,20,40
URLLC,2,3,30.5,2.756743361,2624.5,20,80
URLLC,2,4,30.5,5.644965175,2413,20,80
URLLC,2,5,30.5,7.726458085,220,20,80
URLLC,2,6,30.5,2.344301009,1800,20,80
URLLC,2,7,30.5,3.132572793,1798,20,80
URLLC,2,8,30.5,3.169120712,1289.87,20,80
URLLC,2,9,30.5,5.364532856,1076.2,20,80
URLLC,2,10,30.5,1.475922803,800.25,20,80
URLLC,2,11,30.5,6.565573649,678.5,20,80
URLLC,2,12,30.5,3.221236692,426.29,20,80
URLLC,2,13,30.5,4.207038129,370.63,20,80
URLLC,2,14,30.5,2.686349763,429.36,20,80
URLLC,2,15,30.5,7.355048802,216.27,20,80
URLLC,2,16,30.5,3.411398869,118.63,20,80
URLLC,2,17,30.5,4.901514301,86.54,20,80
URLLC,2,18,30.5,3.424640943,40.26,20,80
URLLC,2,19,30.5,4.206960257,25.36,20,80
URLLC,2,20,30.5,5.253282371,9.38,20,80
URLLC,3,1,35.5,4.416774981,0,15,20
URLLC,3,2,35.5,2.960189752,2582,20,40
URLLC,3,3,35.5,1.735851076,4225,20,80
URLLC,3,4,35.5,4.485718905,2526.5,20,80
URLLC,3,5,35.5,3.323111779,2624.5,20,80
URLLC,3,6,35.5,2.122412323,2413,20,80
URLLC,3,7,35.5,9.108520395,220,20,80
URLLC,3,8,35.5,3.195058329,1853,20,80
URLLC,3,9,35.5,5.915737694,1723,20,80
URLLC,3,10,35.5,5.642050964,1325,20,80
URLLC,3,11,35.5,3.502365989,1025,20,80
URLLC,3,12,35.5,9.104738823,800.25,20,80
URLLC,3,13,35.5,6.974516428,753.25,20,80
URLLC,3,14,35.5,2.361928661,521,20,80
URLLC,3,15,35.5,7.743839457,324,20,80
URLLC,3,16,35.5,7.704365878,226,20,80
URLLC,3,17,35.5,2.543874691,216.27,20,80
URLLC,3,18,35.5,7.472681095,118.63,20,80
URLLC,3,19,35.5,9.556768491,72,20,80
URLLC,3,20,35.5,2.834110875,40.26,20,80
URLLC,4,1,36.5,9.891700428,20,15,20
URLLC,4,2,36.5,5.619950412,9.38,20,40
URLLC,4,3,36.5,1.479915831,9.38,20,80
URLLC,4,4,36.5,4.611208774,9.38,20,80
URLLC,4,5,36.5,6.350067092,9.38,20,80
URLLC,4,6,36.5,1.98022632,9.38,20,80
URLLC,4,7,36.5,9.763230546,9.38,20,80
URLLC,4,8,36.5,9.02117477,9.38,20,80
